0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:46 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:48 -0300] "DELETE /ProjetoTrilhaWeb/rest/marca/excluir/1 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:48 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:48 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5925
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:48 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:48 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_222222_256x240.png HTTP/1.1" 200 7077
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:48 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4670
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:48 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:48 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:48 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:49 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:50 -0300] "DELETE /ProjetoTrilhaWeb/rest/marca/excluir/1 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:50 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:52 -0300] "DELETE /ProjetoTrilhaWeb/rest/marca/excluir/2 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:52 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:53 -0300] "DELETE /ProjetoTrilhaWeb/rest/marca/excluir/3 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:01:53 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:02:10 -0300] "GET /ProjetoTrilhaWeb/rest/marca/carregar HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:02:10 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:02:30 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscarPorId?id=7 HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:02:30 -0300] "GET /ProjetoTrilhaWeb/rest/marca/carregar HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:02:34 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:02:43 -0300] "POST /ProjetoTrilhaWeb/rest/marca/inserir HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:02:43 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:02:46 -0300] "GET /ProjetoTrilhaWeb/rest/marca/carregar HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:02:46 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:02:53 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscarPorId?id=7 HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:02:53 -0300] "GET /ProjetoTrilhaWeb/rest/marca/carregar HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:02:58 -0300] "GET /ProjetoTrilhaWeb/pages/admin/brand/ HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:02:58 -0300] "GET /ProjetoTrilhaWeb/js/brand.js HTTP/1.1" 200 4150
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:02:58 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:02:58 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 10828
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:02:58 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 16832
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:03:00 -0300] "DELETE /ProjetoTrilhaWeb/rest/marca/excluir/9 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:03:00 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:03:00 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5925
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:03:00 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:03:00 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4670
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:03:00 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_222222_256x240.png HTTP/1.1" 200 7077
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:03:00 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:03:00 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:03:00 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:03:01 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:03:02 -0300] "PUT /ProjetoTrilhaWeb/rest/produto/alterar HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:03:02 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:03:05 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:03:08 -0300] "GET /ProjetoTrilhaWeb/rest/marca/carregar HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:03:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:03:41 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:03:49 -0300] "POST /ProjetoTrilhaWeb/rest/marca/inserir HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:03:49 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:03:52 -0300] "GET /ProjetoTrilhaWeb/pages/admin/index.html?txtbusca=Eos HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:03:54 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:03:57 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca=Eos HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:03:59 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar?valorBusca= HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:04:01 -0300] "GET /ProjetoTrilhaWeb/rest/marca/carregar HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:04:01 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:04:22 -0300] "POST /ProjetoTrilhaWeb/rest/produto/inserir HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [15/Aug/2023:22:04:22 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 878
